protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
FKBP2	1.809252537	1.850359106	2.755843477	2.932138977	1.963590373	2.554950884	2.856211597	2.889096971	2.708528067	2.171394522	1.32796841	1.347429302	3.00494816	2.293161217	2.836401579	2.692863178	1.753950478	1.977420265	2.118285972	1.796744706	NA	1.260974137	2.576167397	2.905062649	1.848632054	1.745576573	3.055091683	1.669389698	2.343118437	2.077600653	2.615942901	2.803491721	1.804965175	2.08419688	2.262434752	2.744235192	2.325060333	3.254200409	2.393851668	2.420965805	2.029829994	2.761846739	2.158142013	2.881336628	2.290306992	2.863946071	2.785559376	1.247181473	2.124429072	1.879749514	2.180844826	3.039789677	1.240576358	1.932331652	2.695157758	2.198545252	2.839988385	2.390136125	2.710499982	2.290585401	2.396630053	1.838741433	2.261959063	2.357222384	1.848811445	2.988830545	2.195387724	2.530203267	1.2126196	2.135027605	2.120539843	1.142968924	1.931328096	2.7141161	2.785308878	NA	2.120821415	2.658723147	2.733115108	2.261216335
FKBP3	3.598469012	3.117936003	3.445892452	3.341701726	2.955695628	2.60706891	3.550064066	3.677575632	3.14038854	3.293804618	3.715076768	1.436385599	3.268205039	3.811152143	3.80218343	3.676073389	2.925714911	2.91068972	3.169462451	3.555168669	3.185431583	2.769222558	3.297449605	0.831472915	3.26893327	1.878843949	1.244620522	3.022816447	2.086040022	4.102055482	3.12770961	3.76571192	3.01861159	3.734528379	3.913120415	3.519541773	3.75062373	3.846597626	3.301822779	3.227982593	2.892613404	3.912295039	0.841855502	3.226361779	2.938719775	2.891706654	4.025374854	2.14833256	3.081188446	3.511306485	3.323215613	2.466567293	1.317636173	2.704804412	2.580221059	2.663202023	3.638218421	3.454518148	2.945101756	2.402647913	2.531939733	4.380551687	2.027518215	3.411957771	3.090584022	2.541772808	3.321016628	3.779637407	2.067461679	3.208288598	NA	3.533586928	3.581490311	3.399431846	3.375223268	3.138325037	1.418380675	2.931404238	2.732734133	3.900213394
FKBP4	4.629201513	3.870071253	4.573450852	4.067492788	4.825199169	5.008632399	4.225421422	4.207026572	4.477773305	4.83978423	2.686865655	3.397987429	4.034587619	3.982050312	4.758483821	4.368645167	4.466942785	3.406690547	4.659302605	4.270641885	3.430467423	4.589540768	4.25243622	3.748110366	4.152118676	4.339863796	4.229752932	3.900812127	4.839450718	4.205727815	4.15216735	4.163895797	4.249250187	4.203770682	4.109485473	3.91200503	3.867637441	4.053633258	4.109464587	4.627214382	4.768837662	4.451662058	4.132352154	4.162009491	3.370383364	4.473435383	4.836522798	4.295383996	4.498863969	4.502414135	4.990875223	3.513414283	3.903661041	4.815772147	4.232155639	3.932633721	4.624603635	4.291033576	3.66916528	4.844224648	3.613571094	3.512332997	4.061385784	4.413540851	4.656187943	5.127471686	NA	4.412976515	3.356425852	4.573610387	NA	3.54809164	5.022601921	3.960881666	5.045968592	3.936566596	2.507985538	4.204013782	4.04393354	3.989246546
FKBP5	2.026564389	NA	1.806562762	2.25328729	1.210113366	1.915973616	3.3762184	2.247228728	NA	1.251073879	1.787613201	NA	1.174445392	1.617813386	2.007744655	2.164850343	2.125112682	NA	NA	2.813990157	1.038266086	1.322122904	1.134817186	NA	2.443767088	1.810559854	2.429080997	2.018205435	2.034491639	1.439818041	1.138886141	1.077412147	2.010368316	1.679177573	1.595994245	1.641702012	1.021713048	1.725617519	1.705619363	1.730434096	2.163811808	2.333685767	2.012955497	0.953383968	1.011218166	1.740909094	1.783465355	1.946804558	1.987578218	NA	2.531364486	NA	2.090847734	1.55461732	NA	2.355282148	1.08990857	2.080915712	1.20181216	1.62684654	1.527289393	1.461345698	2.090957703	1.501808678	1.150886373	2.133911686	NA	2.738569302	1.182428234	3.263853107	1.320291223	1.10230257	2.446041878	1.831278731	2.625420533	0.953383968	1.320188698	1.508241386	2.041080109	0.946355781
FKBP8	1.99954889	1.390829084	2.055349831	1.476127346	NA	2.875178205	1.982437859	1.763706693	2.167357189	2.339353819	1.819989297	2.32724778	2.050032934	2.268212693	2.899500374	2.491636908	2.148044474	1.256210632	2.277289797	1.998297958	NA	1.932974969	2.423489853	NA	1.962436922	NA	NA	NA	2.060093679	1.91335419	1.183566301	1.503624092	0.882373684	1.641386278	1.632992506	2.439837142	0.972125575	2.384187302	2.533376274	1.96887116	1.885563033	1.151395795	NA	1.812944374	2.088156719	1.774469573	2.129175442	1.91713448	2.360051156	2.491630581	3.079953018	NA	1.258580536	NA	1.248746855	1.12263417	2.15165784	1.25716445	NA	2.413966306	1.485558406	2.631636175	1.735622107	2.562066846	1.19544429	2.1565797	NA	2.44998271	NA	1.850419361	NA	2.254535421	2.951787705	1.862517086	1.924277997	0.903583123	2.280252586	1.823874359	2.06649098	2.065573982
FKBP9	3.03560087	2.465230268	2.965422657	2.052997151	2.097895336	NA	1.40289207	1.447919283	2.170177106	2.345919525	2.722024235	1.36894868	2.050361092	2.826644296	1.598006041	2.501590386	2.150450303	1.242198091	2.673404223	3.167719473	NA	2.556969261	2.431920254	1.896402592	2.46589104	2.677194718	3.137528539	NA	2.551094698	1.469466035	NA	2.317516394	1.988002583	2.725801189	2.086681355	0.905374055	2.419890247	0.915958216	1.680478467	2.828235687	2.545628284	1.136034365	2.731990048	2.344225142	0.984058271	1.769221875	1.811509869	2.592767938	0.910371991	1.188591389	1.55355653	1.963288645	1.244600583	2.060633163	2.594152222	2.009372178	3.14442396	2.106652329	2.989931836	2.408982454	1.964337496	1.949175643	2.733767141	2.141655554	1.961159417	2.552517042	NA	2.835403611	NA	2.302484858	3.513248531	2.259241688	2.242226136	2.332897245	2.30949256	2.15749892	1.350040216	3.023917798	2.759452461	0.919468325
FLAD1	2.407140422	2.04784493	2.471691431	NA	2.259183177	NA	NA	2.094287826	2.449182816	2.439681219	1.777803376	2.499981062	2.254665471	3.890454775	2.390250936	2.888622342	2.427033708	1.887862595	2.707092358	1.438831476	NA	2.898275543	2.387765762	3.11369101	1.766659242	3.024436453	2.387765762	NA	2.471891427	3.472787259	2.905581657	2.700575833	2.907126289	4.526538007	2.696212549	NA	NA	NA	1.437487862	2.386494355	1.434263561	2.306066995	2.269355121	1.461433892	NA	2.793885653	2.670602519	1.434263561	1.955581146	0.718743511	3.038819002	2.392287645	2.575223064	2.609915391	2.552667837	2.397680161	2.394312709	1.894371922	2.547412101	NA	2.670871452	2.411453569	3.630525316	NA	2.837467809	1.844691476	1.685176326	2.273668461	2.456284652	1.974895538	2.748538458	2.659036184	1.434263561	1.977790365	1.980207896	1.461433892	3.036687274	1.461433892	3.196076767	2.783584818
FLII	3.786319832	3.083071111	4.001936806	3.971498454	3.463153001	4.709173348	4.173643408	3.672364643	3.704445853	4.397362054	4.428145182	3.360402165	4.194160044	4.40002948	4.834101659	4.142747307	4.067048512	3.99038439	4.454377107	4.517298772	3.05679787	4.541996697	4.375676468	4.148770543	4.175487046	4.088861041	2.724426997	3.788081455	3.880501509	3.887708987	4.040613453	4.401360227	3.746961468	3.494910982	4.027335193	3.809238268	3.131461612	3.97254948	4.6607982	4.218895388	3.606008043	3.896221459	3.407518134	4.141307134	3.532519481	4.065891925	4.616530738	4.098002871	4.09817263	3.44202766	4.269537831	4.48817581	3.653215103	3.4656767	3.518213337	3.927382791	4.287297943	3.73197433	3.894371555	4.309359517	3.791702681	3.644370147	4.048005683	4.793749473	4.941696575	4.303230479	4.425481946	3.642991819	3.607934756	3.571249809	3.537243082	3.832070971	4.130018766	3.812066408	4.474503542	4.074513871	3.978473798	4.301239812	3.839255082	3.835798501
FLNA	8.967070816	8.425351233	8.774386059	9.191765935	9.173624346	7.896959872	9.190019034	8.762000084	9.173624346	9.173624346	9.173624346	8.320736763	9.173624346	9.217938614	7.940415591	8.307235232	9.173624346	9.173624346	9.173624346	8.668483867	9.127081998	8.965517491	9.173624346	8.863704507	9.173624346	9.173624346	9.173624346	8.039007723	9.173624346	9.173624346	7.756903547	8.316302853	8.953669692	8.9716396	9.173624346	9.212335006	8.878911636	8.963455069	8.210402034	8.652134204	8.468550869	9.173624346	8.72581357	9.193176792	9.140153705	8.274483265	9.173624346	8.802736694	8.45702704	9.173624346	8.763244563	9.173624346	8.399298408	9.173624346	8.674952645	9.173624346	9.173624346	8.414580252	9.173624346	7.224332619	8.6854825	8.760688031	8.78350864	9.595057411	8.219382865	8.740308252	8.332976838	8.683097531	9.173624346	8.732900249	9.173624346	9.173624346	8.96745674	8.716435552	8.962761538	8.519182293	8.172785205	9.186036546	8.752030463	8.440989342
FLNB	7.267493527	6.777080911	7.952941374	7.066725787	7.048618781	7.545265362	6.391712948	7.484157015	7.188290481	7.289824509	7.499973348	6.508077581	7.329164921	7.769667812	7.718391406	7.367710759	7.579875262	6.949011913	7.382155953	7.403562447	6.815147626	7.629295116	7.711456627	7.902023552	7.009312587	6.86509984	7.233113496	6.334733287	7.633005833	6.949316366	8.304324799	8.376656148	7.413877453	7.895547113	7.201597403	7.393951376	7.575975261	7.112115127	7.621835837	7.894681355	7.748707957	7.551517863	7.205004567	7.945083186	6.540923136	8.12049941	7.795968484	7.27374116	7.284012149	6.640625524	8.044094942	7.211811354	7.219394125	7.556752621	6.576296812	7.614455257	7.639988262	7.723586856	7.040294063	7.854415788	7.822623522	7.379875649	7.661611288	8.049378461	7.115486117	7.579229723	7.84773395	7.715151975	6.972286574	7.672480095	6.91200246	6.99152589	7.989678431	8.436048304	7.911394381	7.797272284	7.185022594	7.454213242	7.374047015	6.996930277
FLNC	6.903296911	4.016994587	4.541365882	7.703981693	7.028917162	4.348690934	6.933278766	5.947137176	7.058138626	6.875443714	6.876028301	5.845326696	6.809198442	7.606094962	4.463174946	4.947259191	6.074097603	6.883742848	6.487244455	3.002717666	7.985021578	5.333162605	6.704817347	3.963048497	6.161807376	7.15343318	7.219019782	5.455336085	3.455947228	7.264650685	1.836872929	4.855370303	4.780485183	5.757880987	7.189498414	5.650430534	5.410053163	6.179167062	3.628665237	4.876558929	4.155721023	6.102376116	5.561319505	6.263029012	7.799106644	4.168630899	6.671523749	6.615322022	6.436161478	7.46265926	3.930167409	7.323611716	5.180351444	7.030486096	6.421915819	4.896308952	6.095715837	3.568934812	6.874328274	1.851030024	4.196404711	5.78806007	5.678298798	6.399287422	4.635152057	5.001072689	2.649763033	5.513167403	7.014900977	4.197302588	6.768475483	7.374914444	3.017122561	4.184369884	5.639135126	4.866081054	3.692757652	4.016888164	5.567877368	4.338329677
FLOT1	3.41625859	2.33987011	2.642836624	3.320226691	1.399972761	3.694465579	2.947541567	3.109910184	1.970948515	2.880924341	3.54772236	3.567546647	1.365071886	3.39242772	3.873501654	3.0104488	3.548594602	3.544646434	3.250909338	3.017980986	1.928070958	4.244284136	3.163664005	3.601275081	2.551304424	2.744667794	2.537979989	3.847277039	2.62937228	2.83089648	3.209748956	3.130404997	2.025604372	2.02401002	2.816681284	3.418611252	NA	3.510640771	2.863294912	3.495043007	2.623191502	3.981676492	2.641881653	2.968235313	2.967056802	2.67400541	3.110978276	4.777435536	3.639813924	2.916791545	2.814673729	2.087158547	3.055071072	3.535147091	3.012939521	3.34940443	1.832387257	2.220306485	2.215385496	2.800169828	3.517685148	3.38471649	3.603178651	3.411908388	3.586894189	3.330810682	2.467474384	2.973586962	2.60764832	3.040432338	3.238410535	3.770761371	3.399763975	2.429144079	3.270231939	1.995458723	3.559801216	3.259668443	3.7780971	3.034527513
FLOT2	3.109105951	3.442292178	2.420296739	2.145390602	1.767881929	3.648171341	3.390313795	2.596719701	3.726580703	2.463395034	3.791358519	2.881722858	3.578222724	3.21394024	3.666113507	3.75667459	3.335393327	3.17997818	3.489336254	3.743045387	2.750305272	3.948761625	2.766285878	2.248810949	3.708256576	3.5762376	2.465374544	3.833771715	2.197784973	2.972534863	2.512345809	3.721305981	2.940370005	2.951582472	2.395179484	3.657683834	1.258775546	3.328941319	3.315416765	2.935109543	3.23709616	3.523190622	3.294666599	3.105205225	2.736151088	2.801010508	2.885525853	4.087891017	3.494170929	3.226852362	3.188188436	3.704146098	2.958853178	3.932248338	1.771415048	3.465730051	3.514791765	3.165772647	3.580128995	2.911028595	3.278499986	3.191242909	2.925788224	3.264334158	4.065159054	2.749120929	2.592397389	3.222873131	2.548218169	3.50503618	2.847000679	3.250838138	4.156087151	3.307691943	2.992795606	2.776973997	3.427880954	3.272521498	3.091174851	3.1923468
FMNL1	1.902316748	NA	1.063879795	1.076929266	NA	2.073500741	3.331303303	2.41038513	0.956960425	1.554241689	2.533257228	1.203801746	1.864545875	1.048742561	3.309339604	2.312411761	2.554231157	1.927689796	2.09415539	2.18506087	1.16172854	1.834928455	2.242863222	NA	2.276758553	2.110159805	1.014599597	2.675123891	1.073826564	NA	NA	1.765068298	1.048742561	NA	1.90034795	1.792111056	1.144149369	2.562661849	1.857918735	1.052543305	1.048742561	0.984122789	NA	NA	2.273426129	2.045959337	2.263059657	1.809404632	2.355799326	2.312405297	1.380447822	1.029618219	2.831376701	NA	NA	NA	3.189365273	NA	1.073826564	1.776794335	1.918952621	1.320299973	1.531132097	2.735308463	2.307597263	0.968659092	1.212999448	1.048742561	2.338178259	1.66470884	1.185925011	1.615720234	2.900879416	0.984122789	2.919200787	NA	NA	1.654192305	2.570865292	1.616261099
FMOD	3.895854827	NA	1.643777744	3.283429803	1.080407111	1.04446735	2.3039665	3.704230097	2.829119809	2.649006758	2.173276384	2.877724387	3.525035481	2.953851487	3.234679417	3.363742703	2.411781681	3.520454038	3.074808943	3.736872976	1.990572057	2.24868598	3.183933132	NA	2.478448147	2.832141795	1.682350607	3.929489514	1.800134515	2.437821952	NA	2.029118984	NA	1.920517875	3.488016452	2.970312048	1.960628906	2.269736165	NA	1.048654825	NA	NA	2.621559348	1.069428005	3.321987073	1.542461335	2.717309948	NA	2.27806847	3.004635725	0.965452411	2.774544415	2.320708155	1.800134515	2.928019986	1.365841148	2.776489485	1.841032112	2.286970618	NA	1.04446735	2.58310963	2.397288284	2.94468878	1.711921264	3.306562192	3.323999865	2.437358504	3.055014502	NA	2.502065702	3.029224177	2.95811629	1.621602636	1.567551037	NA	1.175888697	3.15231258	2.660341661	NA
FMR1	1.049256364	1.737717461	1.054095085	NA	1.074867056	1.543573899	NA	NA	1.812381013	2.149940263	1.530257234	NA	NA	1.450425886	NA	2.456404862	1.198739945	NA	1.515793823	1.03954763	NA	NA	2.02205811	NA	2.049367417	1.915102164	1.018383892	NA	1.724998087	0.969506566	NA	1.275242593	NA	1.034677565	1.3793362	NA	1.157965406	NA	NA	NA	1.517479157	1.565170075	1.106640881	1.063741368	NA	1.493463515	1.781247725	1.563103369	1.626733222	1.034217134	2.566074176	NA	1.769533609	1.346749561	NA	1.684177073	1.799575995	1.761682191	1.068291361	1.034677565	1.034677565	1.636294047	1.04725079	1.055158344	2.074212113	0.979453264	1.18450178	1.034677565	NA	1.918208905	1.161998396	0.989312723	3.344627201	NA	NA	NA	1.161917424	2.334111297	1.369549081	NA
FN1	8.207681095	7.520213802	7.91473231	7.793288194	7.733534067	7.361999505	8.226324063	7.41224291	8.259997005	7.859822239	7.860255317	8.086564739	8.359220005	9.15698073	9.026122276	8.125506233	7.195386483	7.630769432	7.912859747	8.206725289	7.925613961	8.36340881	8.378410553	7.424516502	8.05246778	7.88633028	7.76840658	9.056294073	7.823030291	8.125617406	5.833092208	6.990190275	8.437398469	7.913737269	7.830324169	7.727272234	7.613023677	8.275017103	7.210434331	7.228591471	7.660238638	7.346348766	8.098960368	7.555561046	8.19219386	8.094884008	7.945548326	7.021089188	7.888993893	7.495904433	7.63902916	7.573514783	9.026122276	7.674159991	9.026122276	8.01836389	8.118709334	7.19841436	7.928611607	6.469809223	7.311148004	8.259690578	8.439172746	8.443076157	9.026122276	7.806044279	7.409801289	7.703719131	7.504926591	7.302978521	7.747441932	7.808961097	7.72064203	6.662594696	8.273683322	7.011945911	7.138680018	8.50595169	8.411504632	7.684771401
FN3K	NA	1.013867605	1.013867605	1.569327231	1.139425039	1.356636121	1.012623721	2.26230444	1.003812261	NA	1.003812261	NA	1.102852206	0.999863014	NA	1.003812261	1.301059054	NA	1.020745666	3.301884436	NA	1.380693849	1.062321384	NA	1.082812339	1.029150889	2.421134043	NA	1.130905651	1.376795912	2.460818356	1.003812261	1.786742572	1.393519037	NA	1.349406739	NA	1.438622277	NA	NA	2.183506102	1.033338284	NA	1.020809162	NA	1.020745666	1.263511138	2.217135069	1.413567946	1.086871887	1.003812261	NA	NA	1.496437389	NA	1.479726426	NA	1.14272129	1.130905651	1.344379616	0.999863014	NA	1.445982839	NA	1.078743205	1.615560683	NA	NA	NA	2.260898078	1.252907846	2.214442373	1.266629287	1.786877192	1.006885724	1.020809162	NA	1.559890481	NA	NA
FN3KRP	1.645351677	1.081369526	NA	NA	1.784863432	1.517848954	1.682359454	2.13720135	1.846667686	1.475193611	1.829265787	NA	1.03180024	2.215888524	1.730440237	1.863485592	1.829786783	1.798951867	NA	1.60475491	NA	1.548770578	0.998755395	1.116027702	1.668142362	1.564138104	1.002148361	1.145788831	NA	1.625579455	1.002148361	NA	1.600982103	1.990886352	2.091245385	1.944660659	NA	1.623316016	2.023473484	NA	1.06377472	2.336517015	NA	NA	NA	NA	2.297413411	1.06377472	1.070014008	1.699666752	1.798951867	2.421336665	1.0654185	1.34931758	NA	0.950884526	0.961306176	1.792343772	2.220986038	1.06377472	1.06377472	1.98630106	NA	1.082332163	2.695372692	2.175819607	NA	1.06377472	1.736025095	2.299787507	1.153461142	1.923009426	2.190754623	1.986298014	1.072594605	1.819652713	NA	NA	1.373562796	1.081369526
FNDC3A	1.071913485	1.076285593	1.691701503	NA	NA	2.755329329	1.676359961	NA	2.134984057	1.479374687	2.327584152	1.991420285	1.748711894	1.908991831	2.278104358	2.136391048	2.902760499	1.803407454	1.533630739	1.063135885	NA	1.542911869	NA	NA	1.672501762	NA	1.644258352	NA	NA	1.257198801	1.662485017	1.277316432	3.074612277	1.559386626	0.954297654	1.058730292	NA	1.071913485	NA	NA	1.058730292	2.341202634	1.123659667	2.189563372	NA	2.51069731	1.817769785	NA	1.064955472	NA	1.577444927	NA	2.258103723	1.353355662	NA	2.030005963	1.837421929	1.067843507	NA	1.058730292	2.090333574	0.954297654	NA	1.077246094	1.01568377	3.040464287	2.026755671	1.924816532	1.042033206	1.964699493	1.949827044	0.975095138	1.058730292	0.978528082	2.321699424	NA	1.157142319	1.084996679	2.09368067	1.728313536
FNDC3B	3.182892016	1.048126241	1.048126241	1.065207017	1.077164733	1.547701203	NA	NA	1.169199922	1.721576122	2.602711515	NA	1.713472612	1.452446614	1.70065762	2.445515026	2.059541092	1.078929517	2.208286122	1.648737006	NA	NA	1.01787649	NA	1.033680763	1.909790378	1.021085267	NA	NA	1.603574928	NA	1.633731775	1.644343294	1.028372186	2.033771797	NA	1.153899259	1.043203056	1.031868173	1.651595736	1.521009846	NA	NA	1.05794208	1.139102708	1.492246346	1.171671413	NA	NA	NA	1.323077917	NA	1.080816246	1.346849909	NA	1.681152769	1.795419499	1.757900145	1.070637132	NA	NA	1.633731775	NA	1.049208113	1.643168182	2.111718589	1.970084971	2.03060559	NA	NA	1.163633782	NA	1.414128043	NA	1.662961681	NA	NA	1.853063646	1.369449699	1.048126241
FNTA	1.641537884	1.10609331	2.857604504	2.420809846	2.609834942	1.089223871	2.561188086	2.617032723	1.563782599	2.947902281	2.556266209	1.15438644	1.013047014	2.466035226	1.352839979	3.078249124	2.373815668	1.045521402	1.958010687	2.872279659	NA	1.089223871	2.452720252	2.788124857	2.703700854	2.997889315	2.109795787	1.167746565	NA	2.575287841	1.661176185	2.252506112	2.568939842	2.999060968	3.459075103	1.512399518	NA	2.313063072	1.586431412	2.810431913	2.767905116	2.655458008	2.950136675	1.758078769	2.98349766	2.243989492	2.110517749	1.537442967	2.321317759	1.704406097	1.807826192	2.739092457	1.047578492	2.948811893	1.796499596	2.044062124	1.43436574	1.80093972	1.79621114	2.621022397	2.554198192	2.546243394	2.072336324	2.17892959	0.992886875	2.201127723	2.040670618	2.667458504	2.800959397	1.975933263	1.960422683	2.290899156	2.153962891	2.603250383	2.282563701	1.805651127	NA	2.983771835	2.110517749	1.725397158
FOCAD	NA	1.072833209	1.831439355	NA	NA	NA	1.070960265	NA	1.764899102	1.68103862	2.190875366	1.154872538	2.083121172	1.051782409	1.328753944	1.546192771	1.519085874	1.058542231	2.153093264	NA	NA	NA	1.568546569	2.98825384	NA	NA	1.579573023	NA	NA	1.813793697	2.009611212	2.773464687	NA	1.666022763	1.700960905	NA	NA	NA	NA	NA	NA	1.908410872	2.118382005	NA	NA	NA	1.735019816	1.628422663	NA	NA	2.354588641	1.606684254	NA	2.376413365	1.71242562	1.641865504	1.752609699	1.059277848	NA	1.051782409	NA	1.889873794	1.06541144	NA	NA	1.404043094	1.92196626	1.578463229	NA	0.983930941	NA	0.974523905	NA	1.889871069	NA	1.083296582	1.85343283	NA	1.339918412	NA
